client_id,client_type,gender,country,region,date_of_birth,acquisition_purpose,loan_applied,referral_channel,satisfaction_score
CL100000,Individual,Female,India,South Asia,1997-06-14,Personal use,Yes,Property Portal,3.0
CL100001,Individual,Female,Germany,Europe - West,1989-03-11,Investment,No,Agent Referral,5.0
CL100002,Corporate,Not Specified,Singapore,Southeast Asia,1990-03-16,Investment,Yes,Event,3.0
CL100003,Individual,Female,India,South Asia,2004-05-31,Personal use,No,Event,4.0
CL100004,Individual,Male,United States,North America - West,1980-10-04,Investment,Yes,Social Media,4.0
CL100005,Individual,Male,Brazil,Latin America,1970-10-25,Personal use,Yes,Agent Referral,4.0
CL100006,Individual,Female,India,South Asia,1979-02-23,Investment,No,Property Portal,5.0
CL100007,Corporate,Not Specified,India,South Asia,1966-01-06,Investment,No,Agent Referral,5.0
CL100008,Individual,Female,United States,North America - West,1994-04-25,Personal use,Yes,Social Media,3.0
CL100009,Individual,Male,Germany,Europe - West,1982-04-02,Personal use,No,Website,5.0
CL100010,Individual,Female,United Kingdom,Europe - West,1987-04-24,Personal use,No,Property Portal,3.0
CL100011,Individual,Female,Australia,Oceania,1981-05-01,Investment,No,Event,3.0
CL100012,Individual,Female,United Arab Emirates,Middle East,1979-02-03,Personal use,Yes,Website,4.0
CL100013,Individual,Female,Singapore,Southeast Asia,1972-10-08,Personal use,Yes,Friend/Family,4.0
CL100014,Individual,Male,Germany,Europe - West,1997-12-21,Personal use,Yes,Property Portal,4.0
CL100015,Individual,Male,Canada,North America - East,1983-02-03,Personal use,Yes,Website,3.0
CL100016,Individual,Male,United Arab Emirates,Middle East,1989-09-28,Personal use,Yes,Agent Referral,4.0
CL100017,Individual,Male,United States,North America - West,1987-03-30,Investment,No,Agent Referral,5.0
CL100018,Individual,Female,Singapore,Southeast Asia,1975-10-23,Investment,No,Property Portal,4.0
CL100019,Individual,Male,United Arab Emirates,Middle East,1975-05-14,Investment,Yes,Social Media,3.0
CL100020,Individual,Male,India,South Asia,1970-03-21,Personal use,No,Website,3.0
CL100021,Individual,Male,United Kingdom,Europe - West,1981-06-08,Personal use,Yes,Agent Referral,5.0
CL100022,Individual,Female,Brazil,Latin America,1987-07-26,Personal use,Yes,Social Media,3.0
CL100023,Individual,Female,Australia,Oceania,1988-01-19,Investment,No,Website,4.0
CL100024,Individual,Male,India,South Asia,2004-06-06,Personal use,Yes,Friend/Family,5.0
CL100025,Individual,Female,United States,North America - West,1971-03-07,Personal use,Yes,Website,4.0
CL100026,Individual,Male,Germany,Europe - West,1989-02-28,Investment,No,Property Portal,3.0
CL100027,Individual,Male,United States,North America - East,1979-11-30,Personal use,No,Friend/Family,3.0
CL100028,Individual,Male,United States,North America - East,1977-10-28,Investment,Yes,Property Portal,5.0
CL100029,Individual,Female,India,South Asia,1999-03-12,Personal use,Yes,Website,3.0
CL100030,Individual,Female,India,South Asia,1996-09-12,Personal use,Yes,Social Media,3.0
CL100031,Corporate,Not Specified,Brazil,Latin America,1972-03-08,Personal use,Yes,Property Portal,4.0
CL100032,Individual,Male,United Kingdom,Europe - West,1981-11-16,Investment,Yes,Social Media,3.0
CL100033,Corporate,Not Specified,United Kingdom,Europe - West,1985-04-12,Investment,No,Website,4.0
CL100034,Individual,Female,Germany,Europe - West,1987-03-11,Personal use,No,Website,3.0
CL100035,Individual,Male,United States,North America - East,1974-01-01,Personal use,Yes,Social Media,3.0
CL100036,Individual,Male,United States,North America - West,1975-04-29,Investment,No,Social Media,4.0
CL100037,Individual,Male,Germany,Europe - West,2002-05-01,Investment,No,Property Portal,4.0
CL100038,Corporate,Not Specified,Canada,North America - East,1976-04-13,Personal use,No,Property Portal,3.0
CL100039,Individual,Male,United Arab Emirates,Middle East,1974-11-30,Personal use,No,Friend/Family,3.0
CL100040,Corporate,Not Specified,Germany,Europe - West,1968-04-12,Investment,No,Event,4.0
CL100041,Individual,Female,Singapore,Southeast Asia,1999-06-03,Investment,No,Friend/Family,3.0
CL100042,Corporate,Not Specified,India,South Asia,1970-03-04,Investment,No,Website,5.0
CL100043,Corporate,Not Specified,United Kingdom,Europe - West,1986-01-24,Investment,No,Website,4.0
CL100044,Individual,Female,Singapore,Southeast Asia,2001-10-31,Personal use,Yes,Property Portal,3.0
CL100045,Individual,Male,Singapore,Southeast Asia,1987-11-12,Personal use,Yes,Agent Referral,3.0
CL100046,Individual,Female,United Kingdom,Europe - West,1950-12-31,Investment,No,Property Portal,3.0
CL100047,Individual,Male,United Kingdom,Europe - West,1984-12-27,Personal use,No,Website,3.0
CL100048,Corporate,Not Specified,India,South Asia,1976-04-24,Investment,No,Website,4.0
CL100049,Individual,Other,United States,North America - East,1997-05-28,Personal use,Yes,Property Portal,3.0
CL100050,Individual,Male,United States,North America - East,1966-03-17,Investment,Yes,Property Portal,4.0
CL100051,Individual,Male,United States,North America - East,1976-01-22,Investment,No,Property Portal,4.0
CL100052,Individual,Female,India,South Asia,1970-04-01,Investment,No,Website,5.0
CL100053,Corporate,Not Specified,United Arab Emirates,Middle East,1987-07-20,Investment,No,Agent Referral,4.0
CL100054,Individual,Male,India,South Asia,1972-10-01,Investment,No,Friend/Family,5.0
CL100055,Individual,Female,India,South Asia,1995-09-10,Personal use,No,Property Portal,5.0
CL100056,Corporate,Not Specified,Germany,Europe - West,1982-05-02,Personal use,No,Agent Referral,4.0
CL100057,Individual,Female,United Arab Emirates,Middle East,1981-12-20,Investment,No,Social Media,4.0
