client_id,client_type,gender,country,region,acquisition_purpose,loan_applied,referral_channel,satisfaction_score,age,is_investor,has_loan,is_corporate,age_group,cluster,segment,pca_1,pca_2
CL100000,Individual,Female,India,South Asia,Personal use,Yes,Property Portal,3.0,29.0,0,1,0,<30,0,Mortgage Home Buyers,-2.437886919088185,0.035548500993778376
CL100001,Individual,Female,Germany,Europe - West,Investment,No,Agent Referral,5.0,38.0,1,0,0,30-39,1,Cash Investors,1.461615753304335,-1.6885515291824522
CL100002,Corporate,Not Specified,Singapore,Southeast Asia,Investment,Yes,Event,3.0,37.0,1,1,1,30-39,2,Corporate Investors,1.5147067728788455,1.427575945740573
CL100003,Individual,Female,India,South Asia,Personal use,No,Event,4.0,22.0,0,0,0,<30,5,Cash Home Buyers,-0.9980498481642164,-0.586849031355484
CL100004,Individual,Male,United States,North America - West,Investment,Yes,Social Media,4.0,46.0,1,1,0,40-49,3,Leveraged Investors,0.031600508030712515,-1.0358005801297712
CL100005,Individual,Male,Brazil,Latin America,Personal use,Yes,Agent Referral,4.0,56.0,0,1,0,50-59,0,Mortgage Home Buyers,-2.0849640687810105,0.8529683369495077
CL100006,Individual,Female,India,South Asia,Investment,No,Property Portal,5.0,48.0,1,0,0,40-49,1,Cash Investors,1.5729899355896966,-1.3793625396303912
CL100007,Corporate,Not Specified,India,South Asia,Investment,No,Agent Referral,5.0,61.0,1,0,1,60+,2,Corporate Investors,3.3536451783153267,1.7473110641240257
CL100008,Individual,Female,United States,North America - West,Personal use,Yes,Social Media,3.0,32.0,0,1,0,30-39,0,Mortgage Home Buyers,-2.40578671344918,0.12950375504221678
CL100009,Individual,Male,Germany,Europe - West,Personal use,No,Website,5.0,44.0,0,0,0,40-49,5,Cash Home Buyers,-0.7001108536770349,0.07172838956306932
CL100010,Individual,Female,United Kingdom,Europe - West,Personal use,No,Property Portal,3.0,39.0,0,0,0,30-39,5,Cash Home Buyers,-0.8643283737630579,-0.03684246803012481
CL100011,Individual,Female,Australia,Oceania,Investment,No,Event,3.0,45.0,1,0,0,40-49,1,Cash Investors,1.4284188655528176,-1.428765335621774
CL100012,Individual,Female,United Arab Emirates,Middle East,Personal use,Yes,Website,4.0,48.0,0,1,0,40-49,0,Mortgage Home Buyers,-2.1740934987208074,0.6007260725729799
CL100013,Individual,Female,Singapore,Southeast Asia,Personal use,Yes,Friend/Family,4.0,54.0,0,1,0,50-59,0,Mortgage Home Buyers,-2.106931084990439,0.7883096080176961
CL100014,Individual,Male,Germany,Europe - West,Personal use,Yes,Property Portal,4.0,29.0,0,1,0,<30,0,Mortgage Home Buyers,-2.3826741711296475,0.013549974319793764
CL100015,Individual,Male,Canada,North America - East,Personal use,Yes,Website,3.0,44.0,0,1,0,40-49,0,Mortgage Home Buyers,-2.273531574747885,0.49855083144352935
CL100016,Individual,Male,United Arab Emirates,Middle East,Personal use,Yes,Agent Referral,4.0,37.0,0,1,0,30-39,0,Mortgage Home Buyers,-2.2950343771065773,0.26314293988319076
CL100017,Individual,Male,United States,North America - West,Investment,No,Agent Referral,5.0,39.0,1,0,0,30-39,1,Cash Investors,1.47267208532147,-1.6575080872315935
CL100018,Individual,Female,Singapore,Southeast Asia,Investment,No,Property Portal,4.0,51.0,1,0,0,50-59,1,Cash Investors,1.5509461836825646,-1.2642336871038304
CL100019,Individual,Male,United Arab Emirates,Middle East,Investment,Yes,Social Media,3.0,51.0,1,1,0,50-59,3,Leveraged Investors,0.031669420157850514,-0.8585848437014927
CL100020,Individual,Male,India,South Asia,Personal use,No,Website,3.0,57.0,0,0,0,50-59,5,Cash Home Buyers,-0.6668040333713532,0.5192901882722025
CL100021,Individual,Male,United Kingdom,Europe - West,Personal use,Yes,Agent Referral,5.0,45.0,0,1,0,40-49,0,Mortgage Home Buyers,-2.1513709730109594,0.48949194881607655
CL100022,Individual,Female,Brazil,Latin America,Personal use,Yes,Social Media,3.0,39.0,0,1,0,30-39,0,Mortgage Home Buyers,-2.328392389329234,0.3468078486982282
CL100023,Individual,Female,Australia,Oceania,Investment,No,Website,4.0,39.0,1,0,0,30-39,1,Cash Investors,1.4167805635602166,-1.6394042893272665
CL100024,Individual,Male,India,South Asia,Personal use,Yes,Friend/Family,5.0,22.0,0,1,0,<30,0,Mortgage Home Buyers,-2.4055209615802244,-0.22707906108376935
CL100025,Individual,Female,United States,North America - West,Personal use,Yes,Website,4.0,56.0,0,1,0,50-59,0,Mortgage Home Buyers,-2.085642842583727,0.8490736081798502
CL100026,Individual,Male,Germany,Europe - West,Investment,No,Property Portal,3.0,38.0,1,0,0,30-39,1,Cash Investors,1.3520011195012713,-1.64579990579101
CL100027,Individual,Male,United States,North America - East,Personal use,No,Friend/Family,3.0,47.0,0,0,0,40-49,5,Cash Home Buyers,-0.7765429319151465,0.21017865250317835
CL100028,Individual,Male,United States,North America - East,Investment,Yes,Property Portal,5.0,49.0,1,1,0,40-49,3,Leveraged Investors,0.1210510424530557,-0.9654937091470412
CL100029,Individual,Female,India,South Asia,Personal use,Yes,Website,3.0,28.0,0,1,0,<30,0,Mortgage Home Buyers,-2.4504328870220466,0.0018557602297887984
CL100030,Individual,Female,India,South Asia,Personal use,Yes,Social Media,3.0,30.0,0,1,0,<30,0,Mortgage Home Buyers,-2.4278993774834503,0.06741687114049918
CL100031,Corporate,Not Specified,Brazil,Latin America,Personal use,Yes,Property Portal,4.0,55.0,0,1,1,50-59,4,Corporate Buyers,-0.45747575006725083,3.5425428934788488
CL100032,Individual,Male,United Kingdom,Europe - West,Investment,Yes,Social Media,3.0,45.0,1,1,0,40-49,3,Leveraged Investors,-0.034668571944959925,-1.0448454954066455
CL100033,Corporate,Not Specified,United Kingdom,Europe - West,Investment,No,Website,4.0,41.0,1,0,1,40-49,2,Corporate Investors,3.076627016211371,1.1445460230111772
CL100034,Individual,Female,Germany,Europe - West,Personal use,No,Website,3.0,40.0,0,0,0,30-39,5,Cash Home Buyers,-0.8547616776626497,-0.008448324892396815
CL100035,Individual,Male,United States,North America - East,Personal use,Yes,Social Media,3.0,53.0,0,1,0,50-59,0,Mortgage Home Buyers,-2.173603741089343,0.7814160360102512
CL100036,Individual,Male,United States,North America - West,Investment,No,Social Media,4.0,51.0,1,0,0,50-59,1,Cash Investors,1.5498773932701637,-1.2634087589079683
CL100037,Individual,Male,Germany,Europe - West,Investment,No,Property Portal,4.0,24.0,1,0,0,<30,1,Cash Investors,1.2524252192199172,-2.102406619777017
CL100038,Corporate,Not Specified,Canada,North America - East,Personal use,No,Property Portal,3.0,50.0,0,0,1,40-49,4,Corporate Buyers,0.8950250670423124,3.0264988218660482
CL100039,Individual,Male,United Arab Emirates,Middle East,Personal use,No,Friend/Family,3.0,52.0,0,0,0,50-59,5,Cash Home Buyers,-0.7212612718294709,0.36539586225747234
CL100040,Corporate,Not Specified,Germany,Europe - West,Investment,No,Event,4.0,58.0,1,0,1,50-59,2,Corporate Investors,3.2650977183509955,1.6746643115021318
CL100041,Individual,Female,Singapore,Southeast Asia,Investment,No,Friend/Family,3.0,27.0,1,0,0,<30,1,Cash Investors,1.229716253023616,-1.9886041823240237
CL100042,Corporate,Not Specified,India,South Asia,Investment,No,Website,5.0,57.0,1,0,1,50-59,2,Corporate Investors,3.30874107644407,1.6192425675509332
CL100043,Corporate,Not Specified,United Kingdom,Europe - West,Investment,No,Website,4.0,41.0,1,0,1,40-49,2,Corporate Investors,3.076627016211371,1.1445460230111772
CL100044,Individual,Female,Singapore,Southeast Asia,Personal use,Yes,Property Portal,3.0,25.0,0,1,0,<30,0,Mortgage Home Buyers,-2.482112247156725,-0.08862526680965672
CL100045,Individual,Male,Singapore,Southeast Asia,Personal use,Yes,Agent Referral,3.0,39.0,0,1,0,30-39,0,Mortgage Home Buyers,-2.328134461030844,0.34722835045889283
CL100046,Individual,Female,United Kingdom,Europe - West,Investment,No,Property Portal,3.0,76.0,1,0,0,60+,1,Cash Investors,1.7721417361524048,-0.46614911165837625
CL100047,Individual,Male,United Kingdom,Europe - West,Personal use,No,Website,3.0,42.0,0,0,0,40-49,5,Cash Home Buyers,-0.8326490136283795,0.05363855900932076
CL100048,Corporate,Not Specified,India,South Asia,Investment,No,Website,4.0,50.0,1,0,1,40-49,2,Corporate Investors,3.1761340043655872,1.4239370005689063
CL100049,Individual,Other,United States,North America - East,Personal use,Yes,Property Portal,3.0,29.0,0,1,0,<30,0,Mortgage Home Buyers,-2.437886919088185,0.035548500993778376
CL100050,Individual,Male,United States,North America - East,Investment,Yes,Property Portal,4.0,61.0,1,1,0,60+,3,Leveraged Investors,0.1985142787001394,-0.5709738790627513
CL100051,Individual,Male,United States,North America - East,Investment,No,Property Portal,4.0,51.0,1,0,0,50-59,1,Cash Investors,1.5509461836825646,-1.2642336871038304
CL100052,Individual,Female,India,South Asia,Investment,No,Website,5.0,56.0,1,0,0,50-59,1,Cash Investors,1.6599509558100507,-1.1336643028366515
CL100053,Corporate,Not Specified,United Arab Emirates,Middle East,Investment,No,Agent Referral,4.0,39.0,1,0,1,30-39,2,Corporate Investors,3.0551931259798173,1.086353867879117
CL100054,Individual,Male,India,South Asia,Investment,No,Friend/Family,5.0,54.0,1,0,0,50-59,1,Cash Investors,1.638662713403338,-1.1944283029988056
CL100055,Individual,Female,India,South Asia,Personal use,No,Property Portal,5.0,31.0,0,0,0,30-39,5,Cash Home Buyers,-0.8423535339830642,-0.32918705698496414
CL100056,Corporate,Not Specified,Germany,Europe - West,Personal use,No,Agent Referral,4.0,44.0,0,0,1,40-49,4,Corporate Buyers,0.8830889607840285,2.8194850734434374
CL100057,Individual,Female,United Arab Emirates,Middle East,Investment,No,Social Media,4.0,45.0,1,0,0,40-49,1,Cash Investors,1.4835394011673533,-1.449669410613121
CL100058,Individual,Male,United States,North America - West,Personal use,Yes,Website,3.0,57.0,0,1,0,50-59,0,Mortgage Home Buyers,-2.129799258525129,0.9021155768046936
CL100059,Individual,Female,United States,North America - West,Investment,No,Friend/Family,3.0,45.0,1,0,0,40-49,1,Cash Investors,1.4287302293320476,-1.4298222272085657
CL100060,Individual,Female,United Arab Emirates,Middle East,Personal use,Yes,Website,5.0,35.0,0,1,0,30-39,0,Mortgage Home Buyers,-2.2626130669850264,0.17516280053783126
CL100061,Individual,Male,Germany,Europe - West,Investment,No,Event,4.0,41.0,1,0,0,40-49,1,Cash Investors,1.4394062854428145,-1.5749376300991935
CL100062,Corporate,Not Specified,United Arab Emirates,Middle East,Investment,Yes,Website,4.0,38.0,1,1,1,30-39,2,Corporate Investors,1.58046279500619,1.4342410856910919
CL100063,Individual,Male,India,South Asia,Investment,No,Friend/Family,3.0,23.0,1,0,0,<30,1,Cash Investors,1.1854909249550758,-2.112777950127459
CL100064,Corporate,Not Specified,United Arab Emirates,Middle East,Investment,No,Property Portal,5.0,66.0,1,0,1,60+,2,Corporate Investors,3.4097377005150125,1.9012828439217928
